@RELATION train
@ATTRIBUTE Expert {0,1}
@ATTRIBUTE Head_Entropy_Start NUMERIC
@ATTRIBUTE Head_Entropy_Mid NUMERIC
@ATTRIBUTE Head_Entropy_End NUMERIC
@ATTRIBUTE Avg_HandEntropy_Begin NUMERIC
@ATTRIBUTE Avg_HandEntropy_Mid NUMERIC
@ATTRIBUTE Avg_HandEntropy_End NUMERIC
@ATTRIBUTE Avg_SentenceLength_Begin NUMERIC
@ATTRIBUTE Avg_SentenceLength_Mid NUMERIC
@ATTRIBUTE Avg_SentenceLength_End NUMERIC
@ATTRIBUTE Ratio1_Begin NUMERIC
@ATTRIBUTE Ratio1_Mid NUMERIC
@ATTRIBUTE Ratio1_End NUMERIC
@ATTRIBUTE Ratio2_Begin NUMERIC
@ATTRIBUTE Ratio2_Mid NUMERIC
@ATTRIBUTE Ratio2_End NUMERIC
@ATTRIBUTE Duration NUMERIC
@ATTRIBUTE PresenceClass {0,1,2,3,4}
@DATA
0,1.162996705225299,2.180675438853326,1.013147900230193,0.6202984302304959,2.045920837755912,0.7583481852837376,9.333333333333334,7.909090909090909,10.0,0.05882352941176471,0.08823529411764706,0.05555555555555555,0.2058823529411765,0.2058823529411765,0.2777777777777778,249.76,2
0,1.925413088231715,3.261972253613532,2.098734695876851,1.311117110607466,2.617983200841814,1.503467297031954,4.2,9.04,9.75,0.2631578947368421,0.1806167400881057,0.2608695652173913,0.1052631578947368,0.1585903083700441,0.08695652173913043,203.0625,3
1,1.379823146514528,3.031654366911152,1.986498662977397,0.9959054416493602,2.864747997653843,1.871523138252223,2.875,8.066666666666666,6.4,0.03333333333333333,0.1229508196721311,0.1538461538461539,0.1333333333333333,0.1721311475409836,0.1923076923076923,180.5,2
0,1.770542158255073,2.765996443699561,2.104356760228634,1.790109802603645,2.856596336659413,1.990720801573807,9.333333333333334,9.785714285714286,10.75,0.1153846153846154,0.1798561151079137,0.2258064516129032,0.07692307692307693,0.1438848920863309,0.1612903225806452,149.38,3
0,1.348172290521413,2.258024668637558,1.228401885167968,1.018977124246207,2.338610362163233,1.234305624727857,0.0,9.125,9.0,0.2,0.205,0.2790697674418605,0.0,0.15,0.186046511627907,190.13,3
0,2.188166886431285,3.015454025506254,1.586717885344908,1.720695110538342,2.533409424035718,1.500467789394914,12.0,14.06666666666667,14.5,0.1458333333333333,0.1488372093023256,0.1071428571428571,0.1458333333333333,0.1906976744186047,0.2142857142857143,145.5625,3
0,1.990572713543419,2.409541559467216,1.845275267803964,1.667888708721599,1.832545077388311,1.544963066782132,4.75,13.33333333333333,7.25,0.08571428571428572,0.1699346405228758,0.35,0.2,0.1503267973856209,0.15,176.90625,2
0,1.602320546468018,2.833371290842676,1.835898817391224,1.198323765740499,1.946277660016201,1.584248024484219,6.8,8.043478260869565,6.0,0.2340425531914894,0.1764705882352941,0.2380952380952381,0.1276595744680851,0.1823529411764706,0.2380952380952381,171.0,1
1,1.498004079730271,3.381121337061979,1.328121871564854,1.323658405636002,2.744694820275998,0.9498546297477188,5.8,7.772727272727272,9.0,0.1875,0.1208791208791209,0.1111111111111111,0.125,0.1538461538461539,0.1555555555555556,202.34375,4
1,1.380644155424202,2.681945223791265,1.993570694610798,0.9991734808369338,2.376475192972741,1.746450115310976,4.5,11.0,5.833333333333333,0.1555555555555556,0.1354166666666667,0.2285714285714286,0.1555555555555556,0.1736111111111111,0.1428571428571428,261.46875,0
